alignment,cause,effect,n,lag,F,p,hac_F,hac_p
C_noshift (naive calendar),AMKR,600584.SS,1259,1,12.904033534601064,0.00034055289329096435,8.21310652807744,0.004228268378415525
C_noshift (naive calendar),002156.SZ,AMKR,1259,1,3.5739950402953933,0.058921153560653826,2.7214477848339373,0.09925841773922386
C_noshift (naive calendar),AMKR,002156.SZ,1259,1,13.263675672894827,0.0002816234169184498,7.504880537994009,0.006240362961234409
C_noshift (naive calendar),002185.SZ,AMKR,1259,1,4.247634643764694,0.03951068888830604,4.021404581315355,0.04514066218407365
C_noshift (naive calendar),AMKR,002185.SZ,1259,1,14.770790693243477,0.00012747873929764325,9.451046285968054,0.0021558299003880915
C_noshift (naive calendar),005930.KS,AMKR,1259,2,1.5821000130720573,0.20595364875038608,0.8917999370091148,0.4101774900783306
C_noshift (naive calendar),AMKR,005930.KS,1259,2,77.65274292225214,1.618764302675649e-32,19.124750825357214,6.585271364817372e-09
C_noshift (naive calendar),4062.T,AMKR,1259,1,1.970016606344471,0.16069347871122758,0.9277821665683946,0.3356254444583122
C_noshift (naive calendar),AMKR,4062.T,1259,1,157.97907869488301,3.2686129678075766e-34,64.22356161534357,2.5204520223360414e-15
C_noshift (naive calendar),2330.TW,INTC,1259,1,0.13616103280142403,0.7121899341911375,0.1255472402740837,0.7231537643505749
C_noshift (naive calendar),INTC,2330.TW,1259,1,133.66421648914772,1.8914900394180042e-29,50.244153978569294,2.259209925591063e-12
C_noshift (naive calendar),3711.TW,INTC,1259,1,0.17464915056034624,0.6760840775867669,0.13351104388861737,0.7148806593155237
C_noshift (naive calendar),INTC,3711.TW,1259,1,122.28149887585711,3.44406529842162e-27,59.14469648381874,2.945698471676508e-14
C_noshift (naive calendar),6239.TW,INTC,1259,1,0.09336412070534371,0.7599938324677575,0.05143956566740885,0.8206139274567171
C_noshift (naive calendar),INTC,6239.TW,1259,1,82.93679404927177,3.250101192474225e-19,35.71264599902451,2.975287726354483e-09
C_noshift (naive calendar),2449.TW,INTC,1259,1,0.8012303726348716,0.3708974031964595,0.6583618768127244,0.4172927141308692
C_noshift (naive calendar),INTC,2449.TW,1259,1,45.85937606248907,1.946865281577577e-11,20.17451578079563,7.719488497510123e-06
C_noshift (naive calendar),3264.TWO,INTC,1259,1,1.262901264773284,0.2613175456277347,1.3904717424557251,0.23854894638149723
C_noshift (naive calendar),INTC,3264.TWO,1259,1,26.35510105840444,3.289511279111076e-07,9.316846715121052,0.0023182901708627985
C_noshift (naive calendar),3037.TW,INTC,1259,1,0.05210911408724939,0.8194702614146565,0.03920190395908684,0.8430812701496455
C_noshift (naive calendar),INTC,3037.TW,1259,1,67.22909250535177,5.917772856475602e-16,39.684664382536454,4.121119329218009e-10
C_noshift (naive calendar),8046.TW,INTC,1259,1,0.45960489731853504,0.49793365057345285,0.377362302304489,0.5391296214244372
C_noshift (naive calendar),INTC,8046.TW,1259,1,87.42063159482684,3.887524075730614e-20,65.30860630854274,1.4930398353130955e-15
C_noshift (naive calendar),3189.TW,INTC,1259,1,0.4316899024540629,0.5112813688689067,0.37248129816813613,0.5417653423700607
C_noshift (naive calendar),INTC,3189.TW,1259,1,33.38594675955361,9.521864598156243e-09,23.4807600973449,1.4191430748817607e-06
C_noshift (naive calendar),600584.SS,INTC,1259,1,0.021410257454681357,0.8836903485012654,0.018145238809208306,0.8928673010174657
